,sensitivity,Specificity,MCC,AUC
1,1,0.989583333333333,0.889756521002609,0.998958333333333
2,1,0.995833333333333,0.951474135383107,1
3,1,0.997916666666667,0.97488298036063,0.998958333333333
4,1,0.989583333333333,0.889756521002609,0.998958333333333
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,0.997916666666667,0.97488298036063,0.998958333333333
9,1,0.995833333333333,0.951474135383107,0.998958333333333
10,1,1,1,1
11,1,1,1,1
12,1,0.997916666666667,0.97488298036063,1
13,1,1,1,1
14,1,0.997916666666667,0.97488298036063,1
15,1,0.997916666666667,0.97488298036063,1
16,1,1,1,1
17,1,0.997916666666667,0.97488298036063,1
18,1,0.995833333333333,0.951474135383107,1
19,1,1,1,1
20,1,1,1,1
21,1,1,1,1
22,1,0.997916666666667,0.97488298036063,1
23,1,1,1,1
24,1,1,1,1
25,1,0.997916666666667,0.97488298036063,0.998958333333333
26,1,1,1,1
27,1,0.995833333333333,0.951474135383107,1
28,1,1,1,1
29,1,1,1,1
30,1,1,1,1
31,1,1,1,1
32,1,1,1,1
33,1,0.995833333333333,0.951474135383107,1
34,1,1,1,1
35,1,0.997916666666667,0.97488298036063,1
36,1,1,1,1
37,1,1,1,1
38,1,0.9875,0.871559168740358,0.998958333333333
39,1,1,1,1
40,1,0.995833333333333,0.951474135383107,0.997916666666667
41,1,0.995833333333333,0.951474135383107,0.998958333333333
42,1,1,1,1
43,1,0.997916666666667,0.97488298036063,1
44,1,0.997916666666667,0.97488298036063,1
45,1,0.997916666666667,0.97488298036063,1
46,1,1,1,1
47,1,1,1,1
48,1,1,1,1
49,1,0.997916666666667,0.97488298036063,0.998958333333333
50,1,0.997916666666667,0.97488298036063,1
