"ARI" ""
"result.1" 0.834223610689176 7
"result.2" 0.833426044677787 7
"result.3" 0.839906820031857 7
"result.4" 0.595987957547191 4
"result.5" 0.596539797775208 4
"result.6" 0.954368088643138 8
"result.7" 0.839822741984261 7
"result.8" 0.834202098964765 7
"result.9" 0.711667444689458 6
"result.10" 0.835719971812608 7
"result.11" 0.829923969948259 7
"result.12" 0.71077310372058 6
"result.13" 0.710843854293599 6
"result.14" 0.836312839461859 7
"result.15" 0.832325752914992 7
"result.16" 0.596102741567064 4
"result.17" 0.712431260786678 6
"result.18" 0.719796740887136 5
"result.19" 0.597466080836423 4
"result.20" 0.596355415149822 4
"result.21" 0.828232642259669 7
"result.22" 0.837175877675104 7
"result.23" 0.832076725368544 7
"result.24" 0.830920846841764 7
"result.25" 0.958584557381719 8
"result.26" 0.835434791606708 7
"result.27" 0.596564900568184 4
"result.28" 0.658264535558295 5
"result.29" 0.708929827017602 6
"result.30" 0.837378605420414 7
"result.31" 0.838747889802996 7
"result.32" 0.84172897703951 7
"result.33" 0.837208756755458 7
"result.34" 0.59548465566823 4
"result.35" 0.82865886258428 7
"result.36" 0.708798667308549 5
"result.37" 0.597426730312473 4
"result.38" 0.595755338576594 4
"result.39" 0.710057037978091 6
"result.40" 0.595301909959358 4
"result.41" 0.833282543429341 7
"result.42" 0.829350502825032 7
"result.43" 0.706543274995973 5
"result.44" 0.596779467716038 4
"result.45" 0.709267543580815 6
"result.46" 0.83325201111351 7
"result.47" 0.8397354128997 7
"result.48" 0.834630825199301 7
"result.49" 0.832162801447429 7
"result.50" 0.655801521960403 5
