"ARI" ""
"result.1" 0.356509404272083 7
"result.2" 0.528615096500028 4
"result.3" 0.418783894597229 6
"result.4" 0.406509859981567 6
"result.5" 0.402573444398575 7
"result.6" 0.421748662805914 6
"result.7" 0.482589926581754 5
"result.8" 0.448098668830332 5
"result.9" 0.295457799310238 3
"result.10" 0.467909568997527 5
"result.11" 0.439668688259772 5
"result.12" 0.591102995152548 4
"result.13" 0.441220985519195 5
"result.14" 0.556036799046341 4
"result.15" 0.456267563562309 5
"result.16" 0.430303832002801 5
"result.17" 0.494511586138876 4
"result.18" 0.431249458471376 5
"result.19" 0.445311838213245 5
"result.20" 0.539560593260714 5
"result.21" 0.407195676747552 5
"result.22" 0.510081620542317 4
"result.23" 0.540529819667522 5
"result.24" 0.456324125833245 6
"result.25" 0.420968494666927 5
"result.26" 0.337973271430224 6
"result.27" 0.504445018976916 6
"result.28" 0.511603383185519 5
"result.29" 0.523684040877098 4
"result.30" 0.55246419267576 5
"result.31" 0.501675870939263 5
"result.32" 0.48041181595756 6
"result.33" 0.427879051961992 5
"result.34" 0.482790065254819 5
"result.35" 0.437808153408703 5
"result.36" 0.485212012108744 5
"result.37" 0.536302546096259 4
"result.38" 0.443876137198564 5
"result.39" 0.531564098454358 5
"result.40" 0.430805639398689 5
"result.41" 0.5160721423257 6
"result.42" 0.432316730520059 6
"result.43" 0.428173901960145 5
"result.44" 0.502004508899921 6
"result.45" 0.346899373834245 7
"result.46" 0.380608394992738 7
"result.47" 0.310907235082773 4
"result.48" 0.540434417075489 5
"result.49" 0.504136623377188 6
"result.50" 0.490890514196195 5
