"ARI" ""
"result.1" 0.993830501783064 3
"result.2" 0.997939115549971 3
"result.3" 0.995217075854819 4
"result.4" 0.989732086054275 3
"result.5" 1 3
"result.6" 0.997939600338526 3
"result.7" 0.997276140236203 4
"result.8" 0.991774074912377 3
"result.9" 0.993826145937441 3
"result.10" 0.989886708971931 3
"result.11" 0.993826145937441 3
"result.12" 0.99588309938188 3
"result.13" 0.991774074912377 3
"result.14" 0.987835640104724 3
"result.15" 0.997939115549971 3
"result.16" 0.997939600338526 3
"result.17" 0.995882122764341 3
"result.18" 0.992085774905353 3
"result.19" 0.993984390235785 3
"result.20" 0.997939115549971 3
"result.21" 0.995882122764341 3
"result.22" 1 3
"result.23" 0.991777880883766 3
"result.24" 0.993827574364305 3
"result.25" 0.991775962211382 3
"result.26" 0.98973703514504 3
"result.27" 0.983750161227645 3
"result.28" 0.99588309938188 3
"result.29" 0.99588116183721 3
"result.30" 0.995882122764341 3
"result.31" 0.993826145937441 3
"result.32" 1 3
"result.33" 0.992093058195769 3
"result.34" 1 3
"result.35" 1 3
"result.36" 0.989724955809643 3
"result.37" 0.99588309938188 3
"result.38" 0.99588116183721 3
"result.39" 0.997939115549971 3
"result.40" 0.997939115549971 3
"result.41" 0.993830501783064 3
"result.42" 0.993830501783064 3
"result.43" 0.997939115549971 3
"result.44" 0.99588309938188 3
"result.45" 0.991777880883766 3
"result.46" 0.993829026324071 3
"result.47" 1 3
"result.48" 1 3
"result.49" 0.995882122764341 3
"result.50" 1 3
