"ARI" ""
"result.1" 0.997939600338526 3
"result.2" 1 3
"result.3" 1 3
"result.4" 1 3
"result.5" 1 3
"result.6" 1 3
"result.7" 1 3
"result.8" 1 3
"result.9" 1 3
"result.10" 0.997939600338526 3
"result.11" 0.993826145937441 3
"result.12" 0.997939600338526 3
"result.13" 0.997939115549971 3
"result.14" 0.993986389871946 3
"result.15" 1 3
"result.16" 0.997939600338526 3
"result.17" 0.995882122764341 3
"result.18" 1 3
"result.19" 0.997939600338526 3
"result.20" 0.997939115549971 3
"result.21" 0.995882122764341 3
"result.22" 1 3
"result.23" 0.997939115549971 3
"result.24" 1 3
"result.25" 0.995882122764341 3
"result.26" 0.997939600338526 3
"result.27" 0.997939115549971 3
"result.28" 0.997939600338526 3
"result.29" 1 3
"result.30" 0.997939115549971 3
"result.31" 1 3
"result.32" 1 3
"result.33" 0.998100965927844 3
"result.34" 1 3
"result.35" 1 3
"result.36" 0.997939115549971 3
"result.37" 1 3
"result.38" 1 3
"result.39" 1 3
"result.40" 0.997939115549971 3
"result.41" 0.997939600338526 3
"result.42" 0.997939600338526 3
"result.43" 1 3
"result.44" 0.997939600338526 3
"result.45" 0.997939115549971 3
"result.46" 1 3
"result.47" 1 3
"result.48" 1 3
"result.49" 1 3
"result.50" 1 3
