"ARI" ""
"result.1" 0.283273770407318 6
"result.2" 0.347559309584537 8
"result.3" 0.500956659728454 7
"result.4" 0.199177748139281 4
"result.5" 0.673400949992126 4
"result.6" 0.583110842421018 6
"result.7" 0.514215545011306 7
"result.8" 0.509763508974474 6
"result.9" 0.418322856720423 5
"result.10" 0.505350372560877 3
"result.11" 0.447525170034577 4
"result.12" 0.345913626093778 6
"result.13" 0.671545589131368 4
"result.14" 0.342299745439275 7
"result.15" 0.353194678919617 4
"result.16" 0.343168023339094 7
"result.17" 0.299872468948234 7
"result.18" 0.393095959078593 8
"result.19" 0.32554399484478 6
"result.20" 0.511590749614262 3
"result.21" 0.202894272742866 4
"result.22" 0.232559441678273 7
"result.23" 0.494892607738435 7
"result.24" 0.485073510211155 7
"result.25" 0.420231395841181 7
"result.26" 0.143571009991292 5
"result.27" 0.564256075578926 5
"result.28" 0.649256478166247 5
"result.29" 0.498720239647728 7
"result.30" 0.518760681186241 6
"result.31" 0.544280625125604 7
"result.32" 0.677399623646764 4
"result.33" 0.382140675031783 6
"result.34" 0.632277901967676 5
"result.35" 0.29042213336091 5
"result.36" 0.468363344348576 8
"result.37" 0.470416624965337 6
"result.38" 0.286069227389506 3
"result.39" 0.670787592614442 4
"result.40" 0.464490404674403 6
"result.41" 0.46209405968785 6
"result.42" 0.358198674103345 8
"result.43" 0.562478336789267 5
"result.44" 0.502342384440516 3
"result.45" 0.3815577406326 6
"result.46" 0.444749702926033 6
"result.47" 0.67460476048545 4
"result.48" 0.472048399396363 7
"result.49" 0.481055258358129 7
"result.50" 0.478572026330857 6
