"ARI" ""
"result.1" 0.903262694188793 7
"result.2" 0.886713970465794 7
"result.3" 0.905184329747271 7
"result.4" 0.891702400826585 7
"result.5" 0.938657765751059 8
"result.6" 0.914636095671732 8
"result.7" 0.914174964094108 8
"result.8" 0.913341998778662 7
"result.9" 0.904443587844021 7
"result.10" 0.887691301236275 7
"result.11" 0.894712210190905 7
"result.12" 0.89958291253287 7
"result.13" 0.903798760575805 7
"result.14" 0.923457049372797 8
"result.15" 0.922717910014447 7
"result.16" 0.90464436862016 7
"result.17" 0.88697773833294 7
"result.18" 0.892067428234416 8
"result.19" 0.902108321457193 8
"result.20" 0.928486596848615 7
"result.21" 0.87701872009208 7
"result.22" 0.87584655008337 7
"result.23" 0.928908179117997 7
"result.24" 0.883103384157565 7
"result.25" 0.905910488474642 8
"result.26" 0.887159786320665 7
"result.27" 0.89823462222813 8
"result.28" 0.941292349335014 8
"result.29" 0.92789188611699 7
"result.30" 0.914157136061789 7
"result.31" 0.926717634918077 7
"result.32" 0.905484500683052 7
"result.33" 0.868064804567457 7
"result.34" 0.925074600114052 7
"result.35" 0.892149401173402 7
"result.36" 0.917083725308149 8
"result.37" 0.926813420502649 7
"result.38" 0.89363567090076 7
"result.39" 0.921364085935568 7
"result.40" 0.904491819573409 7
"result.41" 0.930646268217688 8
"result.42" 0.90088033597883 7
"result.43" 0.823563422152103 9
"result.44" 0.900565756701128 8
"result.45" 0.893169162295727 7
"result.46" 0.9010067384982 7
"result.47" 0.928749214254939 7
"result.48" 0.918608894383199 7
"result.49" 0.934947065174102 7
"result.50" 0.933805629239174 7
