"ARI" ""
"result.1" 0.363377560744869 6
"result.2" 0.363731611933828 9
"result.3" 0.500963732319445 6
"result.4" 0.330526711675434 8
"result.5" 0.530342781268357 7
"result.6" 0.543725153131638 6
"result.7" 0.49035580033261 7
"result.8" 0.483453179254405 7
"result.9" 0.456097120783478 6
"result.10" 0.382714601552269 7
"result.11" 0.382205991567679 7
"result.12" 0.376811423688873 8
"result.13" 0.499618268510339 6
"result.14" 0.429101065911211 8
"result.15" 0.474220768908532 7
"result.16" 0.356650947960882 8
"result.17" 0.28055548597154 7
"result.18" 0.37746415559687 7
"result.19" 0.419962631717402 7
"result.20" 0.532970048556079 5
"result.21" 0.385781767059557 6
"result.22" 0.322998713582259 8
"result.23" 0.483592100623072 6
"result.24" 0.48377568530104 6
"result.25" 0.406700326237543 7
"result.26" 0.319456925136902 9
"result.27" 0.513345563783632 7
"result.28" 0.589326873088662 4
"result.29" 0.390484795328725 7
"result.30" 0.540392075876105 7
"result.31" 0.560412653125747 7
"result.32" 0.567508913232589 4
"result.33" 0.3961356350065 7
"result.34" 0.559022801323914 8
"result.35" 0.408509227379099 6
"result.36" 0.515157659360352 8
"result.37" 0.409338863356395 9
"result.38" 0.426190619401775 6
"result.39" 0.497985012617861 7
"result.40" 0.431990892148829 6
"result.41" 0.49661050646942 7
"result.42" 0.424200006548196 8
"result.43" 0.448197643406753 6
"result.44" 0.503116853734558 5
"result.45" 0.420305058419048 7
"result.46" 0.319629941954245 9
"result.47" 0.569271001464786 4
"result.48" 0.442849298026779 7
"result.49" 0.589534165293539 7
"result.50" 0.531903095911119 9
