"ARI" ""
"result.1" 0.66194159802782 7
"result.2" 0.605718979662108 7
"result.3" 0.607137686611452 7
"result.4" 0.546645068165819 8
"result.5" 0.660290207117757 6
"result.6" 0.711814129558559 7
"result.7" 0.746976503050024 6
"result.8" 0.640444583953588 6
"result.9" 0.625617038153881 7
"result.10" 0.667959427482349 7
"result.11" 0.636347346019338 6
"result.12" 0.668347280140475 7
"result.13" 0.652035216267393 5
"result.14" 0.598489571990594 10
"result.15" 0.705289576760583 7
"result.16" 0.691116040446104 6
"result.17" 0.618376287875367 6
"result.18" 0.624722079008674 7
"result.19" 0.641444912713212 5
"result.20" 0.757077264653684 6
"result.21" 0.575114554586696 5
"result.22" 0.603036760996458 6
"result.23" 0.663587740262666 6
"result.24" 0.673316672275619 6
"result.25" 0.71191407400607 6
"result.26" 0.564854392620347 8
"result.27" 0.718082868611321 6
"result.28" 0.732094747491657 6
"result.29" 0.634615239505093 6
"result.30" 0.729900743759249 6
"result.31" 0.740462682010817 7
"result.32" 0.733774826500357 6
"result.33" 0.564842735359127 7
"result.34" 0.684024817991151 6
"result.35" 0.60284160271714 8
"result.36" 0.680360698916914 5
"result.37" 0.704800619913515 8
"result.38" 0.584600104733451 7
"result.39" 0.725228065393502 6
"result.40" 0.648672555861631 7
"result.41" 0.725382043380005 6
"result.42" 0.696798525010199 8
"result.43" 0.627488161177048 6
"result.44" 0.690285073749731 5
"result.45" 0.638712328538929 9
"result.46" 0.672231323391901 8
"result.47" 0.746978649947212 6
"result.48" 0.742384304325688 6
"result.49" 0.744241445375043 7
"result.50" 0.69884114790932 8
