"ARI" ""
"result.1" 0.533804330820534 4
"result.2" 0.53471933492493 4
"result.3" 0.657444065126351 5
"result.4" 0.443839908185025 5
"result.5" 0.559652261204337 4
"result.6" 0.656411340108778 5
"result.7" 0.480171659222279 5
"result.8" 0.551319545965977 4
"result.9" 0.65702085461262 5
"result.10" 0.549003027680197 4
"result.11" 0.509946640131854 4
"result.12" 0.552128613388462 4
"result.13" 0.526534416177601 4
"result.14" 0.655532629844476 5
"result.15" 0.552729909080998 4
"result.16" 0.538345881102603 4
"result.17" 0.533127012014276 4
"result.18" 0.540981627944521 4
"result.19" 0.535265235093734 4
"result.20" 0.654066939860854 5
"result.21" 0.538136347558882 4
"result.22" 0.557906523599952 4
"result.23" 0.659478268607594 5
"result.24" 0.586369075258102 4
"result.25" 0.654730240894822 5
"result.26" 0.452379489847148 5
"result.27" 0.539826833591995 4
"result.28" 0.659199259140767 5
"result.29" 0.655423335905645 5
"result.30" 0.557315683492416 4
"result.31" 0.709850241905288 5
"result.32" 0.548582753948175 4
"result.33" 0.534792261259785 4
"result.34" 0.663233981292949 5
"result.35" 0.553989166746752 4
"result.36" 0.541006979254315 4
"result.37" 0.656504939013548 5
"result.38" 0.535156893970664 4
"result.39" 0.594782283298585 4
"result.40" 0.539389047866544 4
"result.41" 0.65342989986666 5
"result.42" 0.658147036737366 5
"result.43" 0.468580844800938 4
"result.44" 0.658821553198757 5
"result.45" 0.575220312863846 4
"result.46" 0.534812746720028 4
"result.47" 0.654049419076779 5
"result.48" 0.553893963356272 4
"result.49" 0.539724679142925 4
"result.50" 0.655876334249363 5
