"ARI" ""
"result.1" 0.556109512449089 9
"result.2" 0.542951908217542 10
"result.3" 0.429374529347005 10
"result.4" 0.277833767878831 10
"result.5" 0.59651465600795 10
"result.6" 0.533153281893385 8
"result.7" 0.598954324174001 10
"result.8" 0.528011950394395 9
"result.9" 0.524484474570295 10
"result.10" 0.571306793424918 9
"result.11" 0.525858860333517 9
"result.12" 0.574816070040624 8
"result.13" 0.602589426417051 10
"result.14" 0.335491048306224 10
"result.15" 0.572919124154849 10
"result.16" 0.54586637975234 10
"result.17" 0.545345122296539 10
"result.18" 0.452203522514308 10
"result.19" 0.565968890289686 10
"result.20" 0.616115778420537 10
"result.21" 0.450682088335687 10
"result.22" 0.539977539496166 10
"result.23" 0.585151039620009 8
"result.24" 0.550457933703472 8
"result.25" 0.458960432630811 9
"result.26" 0.303612264909004 9
"result.27" 0.604585708220377 9
"result.28" 0.672386866072893 9
"result.29" 0.582490102303101 9
"result.30" 0.631138306235933 9
"result.31" 0.616700972371236 10
"result.32" 0.671936518824358 9
"result.33" 0.528903748716303 10
"result.34" 0.564339080085449 10
"result.35" 0.448443414018734 7
"result.36" 0.611693214477137 10
"result.37" 0.505485061103705 10
"result.38" 0.364003516737136 10
"result.39" 0.596162338966814 10
"result.40" 0.541227415901654 10
"result.41" 0.494523851132145 10
"result.42" 0.482185186814521 10
"result.43" 0.564677724081533 10
"result.44" 0.585093615375854 10
"result.45" 0.381649821478433 8
"result.46" 0.573637275704892 10
"result.47" 0.58513866020369 9
"result.48" 0.625693027165181 10
"result.49" 0.574218449661684 9
"result.50" 0.473513791846028 10
