"ARI" ""
"result.1" 0.437203635190189 2
"result.2" 0.433019827956146 2
"result.3" -9.71567409430796e-05 3
"result.4" 0.0038485914211872 4
"result.5" 0.468527095268401 2
"result.6" 0.305271542126283 5
"result.7" 0.263045236772837 4
"result.8" 0.350186972345237 4
"result.9" 0.37816417688043 3
"result.10" 0.428162903438648 2
"result.11" 0.429761990406563 2
"result.12" 0.42464932843488 2
"result.13" 0.450685226210508 2
"result.14" -0.00189890763982118 4
"result.15" 0.459212476907064 2
"result.16" 0.43516283648581 2
"result.17" -0.00321399132042616 2
"result.18" 0.398765499502099 3
"result.19" 0.439364818413097 2
"result.20" 0.459212476907064 2
"result.21" 0.415100244254299 2
"result.22" 0.418314873551457 2
"result.23" 0.460836636354382 2
"result.24" 0.00138417479155916 3
"result.25" -0.00599107027769809 3
"result.26" 0.000905039285605686 4
"result.27" 0.327185938289921 4
"result.28" 0.463286608807785 2
"result.29" 0.441858188494733 2
"result.30" 0.461166119022402 2
"result.31" 0.457239189283752 2
"result.32" 0.000239652356761829 2
"result.33" 0.407921761489331 2
"result.34" 0.448250468486565 2
"result.35" 0.440168909334226 2
"result.36" 0.455222339312572 2
"result.37" 0.442831940900516 2
"result.38" 0.433911793454536 2
"result.39" 0.630612712342635 3
"result.40" 0.425396527712627 2
"result.41" 0.390736136370705 3
"result.42" 0.27138670508478 5
"result.43" 0.437031896729481 2
"result.44" 0.450143616262055 2
"result.45" 0.00904180011675287 6
"result.46" 0.448094036475675 2
"result.47" 0.345110580486987 3
"result.48" 0.458791937202805 2
"result.49" 0.458791937202805 2
"result.50" 0.399865248481735 3
