"ARI" ""
"result.1" -0.00832631202280641 2
"result.2" -0.00239120583866349 2
"result.3" 0.252785069265007 3
"result.4" 0.00331512857249882 4
"result.5" 0.00239494346160409 2
"result.6" 0.285890043943094 3
"result.7" 0.00377652163443619 2
"result.8" 0.00691449116079522 2
"result.9" 0.00846290733581502 2
"result.10" 0.488786552328868 2
"result.11" 0.121763209119316 3
"result.12" 0.437571824613106 2
"result.13" 0.488786552328868 2
"result.14" 0.00115648201928127 3
"result.15" -0.00228893501719672 2
"result.16" -0.00469334847164365 2
"result.17" -0.00486880508093303 2
"result.18" 0.412490994768678 3
"result.19" 0.00129260430324877 2
"result.20" 0.462329281128796 2
"result.21" -0.00344955288923495 2
"result.22" 0.231692254619785 3
"result.23" -0.000215252532857363 2
"result.24" -0.00181967973313362 2
"result.25" -0.00174304277019889 3
"result.26" -0.0013033766371946 3
"result.27" 0.00441371120742636 2
"result.28" 0.488786552328868 2
"result.29" 0.321874203985657 3
"result.30" 0.307573655920811 2
"result.31" 0.00300067886334959 2
"result.32" 0.0019104444831612 2
"result.33" -0.00447908877583972 3
"result.34" 0.488786552328868 2
"result.35" 0.00434840209591758 2
"result.36" -0.00193801405368422 2
"result.37" 0.000993432836813702 2
"result.38" -0.00192042225499647 2
"result.39" 0.487696659847687 2
"result.40" 0.294490114232195 3
"result.41" 0.488786552328868 2
"result.42" -0.00334190404415125 2
"result.43" 0.409753268908586 3
"result.44" 0.256280453254545 3
"result.45" 0.00110125617960063 2
"result.46" 0.486609359766659 2
"result.47" -0.00823067798328544 2
"result.48" -0.000990294050100376 2
"result.49" 0.357644688214594 3
"result.50" -0.000115314471074955 2
