"ARI" ""
"result.1" 0.996042524394554 3
"result.2" 1 3
"result.3" 1 3
"result.4" 1 3
"result.5" 0.997939600338526 3
"result.6" 0.997939600338526 3
"result.7" 1 3
"result.8" 1 3
"result.9" 0.997939600338526 3
"result.10" 1 3
"result.11" 0.992090698015929 3
"result.12" 1 3
"result.13" 1 3
"result.14" 1 3
"result.15" 1 3
"result.16" 0.997939115549971 3
"result.17" 0.997939115549971 3
"result.18" 1 3
"result.19" 0.997939600338526 3
"result.20" 0.99588309938188 3
"result.21" 0.997939600338526 3
"result.22" 0.993827574364305 3
"result.23" 1 3
"result.24" 0.997939600338526 3
"result.25" 1 3
"result.26" 0.994148042748594 3
"result.27" 0.997939115549971 3
"result.28" 1 3
"result.29" 0.99588116183721 3
"result.30" 0.997939600338526 3
"result.31" 1 3
"result.32" 1 3
"result.33" 0.99588116183721 3
"result.34" 0.993827574364305 3
"result.35" 0.994148042748594 3
"result.36" 0.997939115549971 3
"result.37" 0.997939600338526 3
"result.38" 1 3
"result.39" 1 3
"result.40" 1 3
"result.41" 0.998101589439848 3
"result.42" 1 3
"result.43" 0.997939115549971 3
"result.44" 1 3
"result.45" 0.997939600338526 3
"result.46" 0.993829026324071 3
"result.47" 0.997939600338526 3
"result.48" 0.993829026324071 3
"result.49" 1 3
"result.50" 0.998101589439848 3
