"ARI" ""
"result.1" 0.00497027587022027 3
"result.2" 0.00342999548177934 2
"result.3" 0.00463714272885137 2
"result.4" -0.00203170936002849 2
"result.5" 0.00953332706616495 2
"result.6" 0.56716313462473 2
"result.7" -0.00141198546612857 2
"result.8" 0.617747849982048 2
"result.9" 0.566738252340946 2
"result.10" 0.332255845568442 3
"result.11" 0.559919383853854 2
"result.12" 0.000978367934420412 2
"result.13" 0.563965529549342 2
"result.14" -0.00805083309922204 3
"result.15" 0.580015970644604 2
"result.16" 0.567185909565578 2
"result.17" 0.000517072930182558 2
"result.18" 0.551980075648406 2
"result.19" 0.00164570926700714 2
"result.20" 0.38280203289605 3
"result.21" 0.237234795078769 3
"result.22" 0.279060135371486 3
"result.23" 0.584166110589448 2
"result.24" -0.000224983141878345 3
"result.25" 0.112148289760393 5
"result.26" -0.00907376219312556 2
"result.27" 0.300548580474091 3
"result.28" 0.560684762583014 2
"result.29" 0.00046313114029267 3
"result.30" 0.574726821002664 2
"result.31" 0.564181697180516 2
"result.32" -0.000650330876023496 2
"result.33" 0.0161961588965063 2
"result.34" 0.560527237691622 2
"result.35" -0.00143122421311708 2
"result.36" 0.348242666923648 3
"result.37" -0.00144104186855213 3
"result.38" -0.0109629807706268 2
"result.39" 0.56259838883247 2
"result.40" 0.54760338176967 2
"result.41" 0.204242449128593 4
"result.42" -0.00818389084077 2
"result.43" 0.286957261035996 3
"result.44" 0.00119930960296914 2
"result.45" -0.0023553267948494 2
"result.46" 0.567462253298998 2
"result.47" 0.0118035490906983 2
"result.48" 0.308194210135172 3
"result.49" 0.292329286211231 3
"result.50" 0.56959887151586 2
