"ARI" ""
"result.1" 0.17013033713968 5
"result.2" 0.00686258210549304 3
"result.3" 0.00795687306610325 3
"result.4" 0.153294908946485 4
"result.5" 0.345333757588648 3
"result.6" 0.553524436519473 2
"result.7" 0.32398664676182 3
"result.8" 0.489318469770536 2
"result.9" 0.564848695365592 2
"result.10" 0.419254528986677 2
"result.11" 0.432749527558135 2
"result.12" 0.547802779027324 2
"result.13" 0.467227319538075 2
"result.14" -0.00462261115618485 10
"result.15" 0.552662315248615 2
"result.16" 0.46755538663717 2
"result.17" 0.0147309222907261 4
"result.18" 0.533604893902261 2
"result.19" 0.465865068302732 2
"result.20" 0.454952693084985 2
"result.21" 0.387634618818458 2
"result.22" 0.423418495936423 2
"result.23" 0.518234659585674 2
"result.24" 0.317651446362766 3
"result.25" 0.272664501593417 3
"result.26" 0.135599926665717 5
"result.27" 0.532304425513951 3
"result.28" 0.570006669713777 2
"result.29" 0.438319045943552 2
"result.30" 0.548739105805917 2
"result.31" 0.578339032715693 2
"result.32" 0.295724575863246 3
"result.33" 0.203673719504282 3
"result.34" 0.546203375452593 2
"result.35" 0.481680605938098 2
"result.36" 0.472113344651481 2
"result.37" 0.462333057563382 2
"result.38" -0.0104259838209267 2
"result.39" 0.477575079882568 2
"result.40" 0.462396159284483 2
"result.41" 0.393038717468934 3
"result.42" 0.534205379564943 2
"result.43" 0.417595199794535 2
"result.44" 0.428697102153098 2
"result.45" 0.317953590379441 3
"result.46" 0.441821015745338 2
"result.47" 0.0108820530832631 2
"result.48" 0.47997217792831 2
"result.49" 0.368531490725722 4
"result.50" 0.573346660657922 2
