"ARI" ""
"result.1" 0.330133407727246 4
"result.2" 0.0043344012044369 3
"result.3" 0.326112685077962 4
"result.4" -0.00158352594541808 5
"result.5" 0.38012790063312 7
"result.6" 0.416981339674726 5
"result.7" 0.219356358862723 5
"result.8" 0.356923544921902 5
"result.9" 0.292940464939876 6
"result.10" 0.306808847283983 4
"result.11" 0.292631885527497 4
"result.12" 0.372516787659227 5
"result.13" 0.321455401789528 4
"result.14" 0.30000084931367 4
"result.15" 0.35266350094539 4
"result.16" 0.2837455675059 4
"result.17" 0.303469199311297 3
"result.18" 0.336835054005632 4
"result.19" 0.35396216008539 4
"result.20" 0.377508930719722 6
"result.21" 0.263330098662235 4
"result.22" 0.233353944693466 3
"result.23" 0.402413952121896 6
"result.24" 0.0103491855516804 3
"result.25" 0.309431890171932 4
"result.26" -0.000314516137455529 2
"result.27" 0.175162611640522 5
"result.28" 0.402906929318775 6
"result.29" 0.360708376794972 4
"result.30" 0.355795925599306 4
"result.31" 0.436698448012062 5
"result.32" 0.352346438407348 7
"result.33" 0.233881233162219 3
"result.34" 0.38259130795128 7
"result.35" 0.303061881131766 3
"result.36" 0.319849939503657 4
"result.37" 0.415713676656788 5
"result.38" 0.267908422008268 4
"result.39" 0.423022957616108 6
"result.40" 0.347687094084054 6
"result.41" 0.420225439512094 6
"result.42" 0.354590825274678 6
"result.43" 0.391530600367377 6
"result.44" 0.330880445642871 4
"result.45" 0.322130688989436 4
"result.46" 0.269011990234688 5
"result.47" 0.208662726924937 5
"result.48" 0.358537034225672 4
"result.49" 0.347361553566273 5
"result.50" 0.415067989570272 5
