"ARI" ""
"result.1" 0.130049385893298 6
"result.2" 0.117638772771257 5
"result.3" 0.254477663296247 4
"result.4" 0.0940436164043298 4
"result.5" 0.194773381510742 4
"result.6" 0.288966925209804 4
"result.7" 0.225631481696871 4
"result.8" 0.268222253818215 4
"result.9" 0.232553009140405 4
"result.10" 0.227897310042874 4
"result.11" 0.242479827792558 4
"result.12" 0.240851692930551 5
"result.13" 0.23621753470022 4
"result.14" 0.215073522211888 6
"result.15" 0.271849923521964 4
"result.16" 0.228567231572524 4
"result.17" 0.107749383725149 4
"result.18" 0.218762619411368 5
"result.19" 0.248978980290327 4
"result.20" 0.263186313725056 4
"result.21" 0.184434345406145 4
"result.22" 0.216703765692125 4
"result.23" 0.21431819488375 5
"result.24" 0.20594080038944 5
"result.25" 0.216086101774717 5
"result.26" 0.165982102505417 5
"result.27" 0.319349870198905 3
"result.28" 0.26138287518365 4
"result.29" 0.251687689916891 4
"result.30" 0.267009487202111 4
"result.31" 0.288445014569608 4
"result.32" 0.255671862151133 4
"result.33" 0.210510682836249 5
"result.34" 0.287025416423501 4
"result.35" 0.215644867086125 5
"result.36" 0.275879120446754 4
"result.37" 0.277446122612991 4
"result.38" 0.239736113535683 4
"result.39" 0.294176774500683 4
"result.40" 0.255216339989906 4
"result.41" 0.274409912345691 4
"result.42" 0.263670130337217 4
"result.43" 0.246555900749459 4
"result.44" 0.240610240979083 5
"result.45" 0.142902722660671 5
"result.46" 0.240763265496388 4
"result.47" 0.253690201886042 4
"result.48" 0.258438479367678 4
"result.49" 0.232273783885877 5
"result.50" 0.291711084421929 4
