"ARI" ""
"result.1" 0.993829026324071 3
"result.2" 0.99588309938188 3
"result.3" 0.993986389871946 3
"result.4" 0.486609359766659 2
"result.5" 0.997939115549971 3
"result.6" 0.997939115549971 3
"result.7" 1 3
"result.8" 0.991928685927203 3
"result.9" 0.99588116183721 3
"result.10" 0.994144542287249 3
"result.11" 0.488786552328868 2
"result.12" 0.993826145937441 3
"result.13" 0.991774074912377 3
"result.14" 0.998101589439848 3
"result.15" 0.997939115549971 3
"result.16" 0.995882122764341 3
"result.17" 0.997939600338526 3
"result.18" 0.99588116183721 3
"result.19" 1 3
"result.20" 0.486609359766659 2
"result.21" 0.99588116183721 3
"result.22" 0.99588116183721 3
"result.23" 0.99588309938188 3
"result.24" 0.997939115549971 3
"result.25" 0.488786552328868 2
"result.26" 0.997939600338526 3
"result.27" 0.993826145937441 3
"result.28" 0.99588309938188 3
"result.29" 1 3
"result.30" 0.997939115549971 3
"result.31" 0.997939115549971 3
"result.32" 1 3
"result.33" 0.995882122764341 3
"result.34" 1 3
"result.35" 0.991775962211382 3
"result.36" 0.993982415121847 3
"result.37" 0.997939600338526 3
"result.38" 0.993829026324071 3
"result.39" 0.996042155840976 3
"result.40" 1 3
"result.41" 1 3
"result.42" 0.987681574868784 3
"result.43" 1 3
"result.44" 0.99588116183721 3
"result.45" 1 3
"result.46" 1 3
"result.47" 0.997939600338526 3
"result.48" 0.99588309938188 3
"result.49" 0.995882122764341 3
"result.50" 1 3
