"ARI" ""
"result.1" 0.887893601428772 6
"result.2" 0.955044909485521 7
"result.3" 0.966348833977723 7
"result.4" 0.950672166751364 7
"result.5" 0.968122820614161 7
"result.6" 0.967028210164258 7
"result.7" 0.97900264080371 7
"result.8" 0.963011999124835 7
"result.9" 0.966334690312171 7
"result.10" 0.958098985398054 7
"result.11" 0.841802606525772 6
"result.12" 0.951690965345646 7
"result.13" 0.96324895447994 7
"result.14" 0.946597018845801 7
"result.15" 0.965424177920188 7
"result.16" 0.957170383335092 7
"result.17" 0.943547035896494 7
"result.18" 0.961781675674304 7
"result.19" 0.970482808148186 7
"result.20" 0.975204598564832 7
"result.21" 0.947070144169349 7
"result.22" 0.956959965537582 7
"result.23" 0.965282401304558 7
"result.24" 0.970485237313384 7
"result.25" 0.964467487852342 7
"result.26" 0.945203357912751 7
"result.27" 0.91348055916118 6
"result.28" 0.969184501924298 7
"result.29" 0.963934849377538 7
"result.30" 0.96538829138997 7
"result.31" 0.97407794831319 7
"result.32" 0.898779194737698 6
"result.33" 0.940567488295509 7
"result.34" 0.971719292536791 7
"result.35" 0.974492401868975 7
"result.36" 0.975764930421679 7
"result.37" 0.980721255494546 7
"result.38" 0.949246637823546 7
"result.39" 0.976717792721353 7
"result.40" 0.96091740293754 7
"result.41" 0.965368920169489 7
"result.42" 0.965899317673084 7
"result.43" 0.963399829262985 7
"result.44" 0.963923527054782 7
"result.45" 0.950954900508538 7
"result.46" 0.965258757965071 7
"result.47" 0.951701342634708 7
"result.48" 0.966940499171794 7
"result.49" 0.986550482687532 7
"result.50" 0.97284222161175 7
