"","pi","K","Sensitivity","Specificity","MCC","AUC"
"1",0.1,3,1,0.987208333333333,0.871296975032253,0.998
"2",0.2,3,1,0.991291666666667,0.909422397039009,0.998875
"3",0.3,3,1,0.993,0.92549973734423,0.999020833333333
"4",0.1,5,1,0.959125,0.989288195439595,0.99975
"5",0.2,5,1,0.996375,0.961676257787895,0.999583333333333
"6",0.3,5,1,0.992916666666667,0.934444082666176,0.999104166666667
"7",0.1,7,1,0.999791666666667,0.9975224615293,0.9999375
"8",0.2,7,1,0.998666666666667,0.985086488410024,0.999770833333333
"9",0.3,7,1,0.997416666666667,0.975167170163591,0.999625
