"","pi","K","Sensitivity","Specificity","MCC","AUC"
"1",0.1,3,0,0.00439449414588141,0.0378408779660524,0.00142484633376013
"2",0.2,3,0,0.00551503433729078,0.0500471396228921,0.00118749627043205
"3",0.3,3,0,0.00506407358456033,0.0466041670646897,0.00106083553098937
"4",0.1,5,0,0.197774470042437,0.0184838025712054,0.000496230119063584
"5",0.2,5,0,0.00546858296635101,0.0503024046833659,0.000697978535687998
"6",0.3,5,0,0.0110078821481589,0.0845137481510735,0.00151771124415515
"7",0.1,7,0,0.000758782665713194,0.0089675648183801,0.000249893684877275
"8",0.2,7,0,0.0027842894198873,0.0296429708866812,0.000484031427598026
"9",0.3,7,0,0.00671538322674791,0.0574734052143085,0.00124075378486163
