,sensitivity,Specificity,MCC,AUC
1,1,0.985416666666667,0.854364249957205,0.996875
2,1,0.997916666666667,0.97488298036063,1
3,1,0.989583333333333,0.889756521002609,1
4,1,0.979166666666667,0.807946642902722,0.997916666666667
5,1,0.9875,0.871559168740358,1
6,1,0.989583333333333,0.889756521002609,0.998958333333333
7,1,0.99375,0.929586163183709,0.997916666666667
8,1,0.997916666666667,0.97488298036063,1
9,1,0.99375,0.929586163183709,0.998958333333333
10,1,0.997916666666667,0.97488298036063,0.998958333333333
11,1,0.989583333333333,0.889756521002609,0.998958333333333
12,1,0.995833333333333,0.951474135383107,0.998958333333333
13,1,0.991666666666667,0.90905934288631,0.998958333333333
14,1,0.995833333333333,0.951474135383107,1
15,1,0.99375,0.929586163183709,1
16,1,0.99375,0.929586163183709,1
17,1,0.991666666666667,0.90905934288631,0.998958333333333
18,1,0.995833333333333,0.951474135383107,0.997916666666667
19,1,0.995833333333333,0.951474135383107,1
20,1,0.997916666666667,0.97488298036063,1
21,1,0.99375,0.929586163183709,0.998958333333333
22,1,0.991666666666667,0.90905934288631,1
23,1,0.98125,0.822632444005848,0.997916666666667
24,1,0.991666666666667,0.90905934288631,0.998958333333333
25,1,0.995833333333333,0.951474135383107,0.998958333333333
26,1,0.997916666666667,0.97488298036063,0.998958333333333
27,1,1,1,1
28,1,0.979166666666667,0.807946642902722,0.997916666666667
29,1,0.989583333333333,0.889756521002609,0.998958333333333
30,1,0.995833333333333,0.951474135383107,0.998958333333333
31,1,0.989583333333333,0.889756521002609,0.996875
32,1,0.991666666666667,0.90905934288631,0.998958333333333
33,1,0.9875,0.871559168740358,0.998958333333333
34,1,0.979166666666667,0.807946642902722,0.998958333333333
35,1,0.995833333333333,0.951474135383107,1
36,1,0.991666666666667,0.90905934288631,0.998958333333333
37,1,0.9875,0.871559168740358,0.997916666666667
38,1,0.991666666666667,0.90905934288631,0.997916666666667
39,1,0.985416666666667,0.854364249957205,0.994791666666667
40,1,0.991666666666667,0.90905934288631,0.997916666666667
41,1,0.989583333333333,0.889756521002609,1
42,1,0.989583333333333,0.889756521002609,1
43,1,0.991666666666667,0.90905934288631,1
44,1,0.979166666666667,0.807946642902722,0.998958333333333
45,1,0.99375,0.929586163183709,0.998958333333333
46,1,0.98125,0.822632444005848,0.994791666666667
47,1,0.991666666666667,0.90905934288631,1
48,1,0.989583333333333,0.889756521002609,0.998958333333333
49,1,0.997916666666667,0.97488298036063,0.998958333333333
50,1,0.997916666666667,0.97488298036063,0.998958333333333
