"ARI" ""
"result.1" -0.0308874655156334 2
"result.2" -0.0269816096673948 2
"result.3" -0.0393158891758346 2
"result.4" -0.0126628851915686 2
"result.5" 0.497970635503252 3
"result.6" 0.562631943423438 2
"result.7" 0.543682309349735 3
"result.8" 0.48391963683203 3
"result.9" 0.682183482001265 3
"result.10" 0.618063055003372 2
"result.11" 0.534175668573446 3
"result.12" 0.612668474719962 2
"result.13" -0.03346274170613 2
"result.14" 0.565173996814769 2
"result.15" -0.0255099123504992 2
"result.16" -0.0100766794236295 2
"result.17" -0.0274042024029434 2
"result.18" 0.511900863370627 3
"result.19" -0.0262574719988561 2
"result.20" 0.540697544290652 3
"result.21" -0.00304680602930619 2
"result.22" -0.0110925638246968 2
"result.23" -0.0089985100759229 2
"result.24" -0.0153424283951923 2
"result.25" -0.0105748486434827 2
"result.26" -0.0287702093159562 2
"result.27" 0.612951083701683 2
"result.28" 0.622662908975397 2
"result.29" 0.540067251821469 3
"result.30" 0.48979881095379 3
"result.31" 0.534892158462158 3
"result.32" -0.0126954057877145 2
"result.33" -0.024225360710267 2
"result.34" -0.0238824146143252 2
"result.35" 0.521524244124378 3
"result.36" 0.624183703895835 2
"result.37" 0.610718342521678 2
"result.38" -0.0442097424788348 2
"result.39" -0.0364371204846273 2
"result.40" 0.502751194437178 3
"result.41" -0.0277132969219753 2
"result.42" -0.0213580336321826 2
"result.43" 0.610971350909363 2
"result.44" -0.0269286349548142 2
"result.45" -0.0349057751393088 2
"result.46" -0.0267931459073208 2
"result.47" -0.00957379036818236 2
"result.48" 0.570744905981759 3
"result.49" -0.00508163603069953 2
"result.50" 0.507636707664479 3
