"ARI" ""
"result.1" 0.538790141972488 5
"result.2" 0.453056230431512 3
"result.3" 0.556777523485668 5
"result.4" 0.458848290679632 7
"result.5" 0.546727453767441 8
"result.6" 0.598137967807145 5
"result.7" 0.493395480161476 6
"result.8" 0.392449976115366 7
"result.9" 0.566705250149253 4
"result.10" 0.486672189187345 4
"result.11" 0.552964054064513 5
"result.12" 0.405280690561323 6
"result.13" 0.562110106817897 5
"result.14" 0.505976910167313 3
"result.15" 0.467444014486856 6
"result.16" 0.481400792390075 4
"result.17" 0.445961823540656 3
"result.18" 0.44884293359384 5
"result.19" 0.396802637935881 9
"result.20" 0.560475052028362 5
"result.21" 0.378587727568243 6
"result.22" 0.464190311420593 3
"result.23" 0.524949234803549 5
"result.24" 0.482594469463696 5
"result.25" 0.470510947979543 4
"result.26" 0.471738311086058 4
"result.27" 0.530833130175377 7
"result.28" 0.650908570103036 4
"result.29" 0.553082174113323 5
"result.30" 0.502026237981969 6
"result.31" 0.481977216578414 5
"result.32" 0.536497035274173 8
"result.33" 0.428505385876517 3
"result.34" 0.56357907322556 4
"result.35" 0.5611289035626 5
"result.36" 0.577141788712569 5
"result.37" 0.543523464984849 4
"result.38" 0.502568762186095 6
"result.39" 0.501925987025194 9
"result.40" 0.477901285321993 4
"result.41" 0.627665687869547 4
"result.42" 0.545846136954779 6
"result.43" 0.444473976322713 5
"result.44" 0.564566331706495 5
"result.45" 0.535273555768352 8
"result.46" 0.468780259182281 4
"result.47" 0.337801358351955 8
"result.48" 0.588168545748343 4
"result.49" 0.607058394312371 4
"result.50" 0.53069454210785 8
