,sensitivity,Specificity,MCC,AUC
1,1,0.991666666666667,0.90905934288631,0.998958333333333
2,1,0.995833333333333,0.951474135383107,0.998958333333333
3,1,0.997916666666667,0.97488298036063,1
4,1,0.9875,0.871559168740358,1
5,1,1,1,1
6,1,1,1,1
7,1,0.970833333333333,0.755697314652202,0.995833333333333
8,1,0.99375,0.929586163183709,1
9,1,1,1,1
10,1,0.997916666666667,0.97488298036063,1
11,1,0.989583333333333,0.889756521002609,0.998958333333333
12,1,0.991666666666667,0.90905934288631,1
13,1,1,1,1
14,1,0.99375,0.929586163183709,0.998958333333333
15,1,1,1,1
16,1,0.995833333333333,0.951474135383107,1
17,1,1,1,1
18,1,0.964583333333333,0.722077832644374,0.995833333333333
19,1,0.99375,0.929586163183709,0.998958333333333
20,1,0.9875,0.871559168740358,0.998958333333333
21,1,0.964583333333333,0.722077832644374,0.994791666666667
22,1,1,1,1
23,1,0.997916666666667,0.97488298036063,1
24,1,0.995833333333333,0.951474135383107,1
25,1,0.997916666666667,0.97488298036063,1
26,1,0.9875,0.871559168740358,1
27,1,0.99375,0.929586163183709,1
28,1,0.995833333333333,0.951474135383107,1
29,1,1,1,1
30,1,0.997916666666667,0.97488298036063,1
31,1,0.997916666666667,0.97488298036063,1
32,1,0.991666666666667,0.90905934288631,0.997916666666667
33,1,0.995833333333333,0.951474135383107,1
34,1,0.989583333333333,0.889756521002609,1
35,1,0.9875,0.871559168740358,0.996875
36,1,1,1,1
37,1,0.995833333333333,0.951474135383107,0.998958333333333
38,1,0.975,0.7806247497998,0.995833333333333
39,1,0.99375,0.929586163183709,1
40,1,0.989583333333333,0.889756521002609,0.998958333333333
41,1,0.995833333333333,0.951474135383107,0.998958333333333
42,1,0.99375,0.929586163183709,0.997916666666667
43,1,0.995833333333333,0.951474135383107,1
44,1,0.99375,0.929586163183709,1
45,1,0.985416666666667,0.854364249957205,0.997916666666667
46,1,0.99375,0.929586163183709,1
47,1,0.995833333333333,0.951474135383107,1
48,1,0.997916666666667,0.97488298036063,0.998958333333333
49,1,0.997916666666667,0.97488298036063,0.998958333333333
50,1,0.960416666666667,0.70179866594442,0.99375
